Date,Order_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Region
2016-01-16,CA-2016-121755,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,3.0,30.19,0.0,West
2015-09-17,US-2015-150630,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,7.0,440.49,50.0,East
2015-09-17,US-2015-150630,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,2.0,4.81,70.0,East
2015-09-17,US-2015-150630,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,3.0,41.4,20.0,East
2015-09-17,US-2015-150630,Poly String Tie Envelopes,Office Supplies,2.0,1.63,20.0,East
2015-09-17,US-2015-150630,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,6.0,14.38,20.0,East
2015-09-17,US-2015-150630,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,6.0,1.14,70.0,East
2015-09-17,US-2015-150630,Lumber Crayons,Office Supplies,2.0,7.88,20.0,East
2017-10-19,CA-2017-107727,Easy-staple paper,Office Supplies,3.0,9.82,20.0,Central
2016-12-08,CA-2016-117590,GE 30524EE4,Technology,7.0,156.79,20.0,Central
2016-12-08,CA-2016-117590,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,5.0,38.18,60.0,Central
2015-12-27,CA-2015-117415,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,9.0,12.59,20.0,Central
2015-12-27,CA-2015-117415,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,3.0,177.47,32.0,Central
2015-12-27,CA-2015-117415,"Global Fabric Manager's Chair, Dark Gray",Furniture,3.0,70.69,30.0,Central
2015-12-27,CA-2015-117415,Plantronics HL10 Handset Lifter,Technology,4.0,92.79,20.0,Central
2017-09-10,CA-2017-120999,Panasonic Kx-TS550,Technology,4.0,36.79,20.0,Central
2016-07-17,CA-2016-101343,"Eldon Base for stackable storage shelf, platinum",Office Supplies,2.0,38.94,0.0,West
2017-09-19,CA-2017-139619,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,2.0,47.81,20.0,South
2016-03-11,CA-2016-118255,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,2.0,22.99,0.0,Central
2016-03-11,CA-2016-118255,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,2.0,8.73,0.0,Central
2014-10-20,CA-2014-146703,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,4.0,52.99,0.0,Central
2016-06-20,CA-2016-169194,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,3.0,15.0,0.0,East
2016-06-20,CA-2016-169194,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,2.0,10.9,0.0,East
2015-04-18,CA-2015-115742,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,6.0,6.37,0.0,Central
2015-04-18,CA-2015-115742,Avery 485,Office Supplies,6.0,12.53,0.0,Central
2015-04-18,CA-2015-115742,Longer-Life Soft White Bulbs,Furniture,2.0,3.08,0.0,Central
2015-04-18,CA-2015-115742,"Global Leather Task Chair, Black",Furniture,1.0,89.99,0.0,Central
2016-12-11,CA-2016-105816,Advantus Push Pins,Office Supplies,7.0,2.18,0.0,East
2016-12-11,CA-2016-105816,AT&T CL83451 4-Handset Telephone,Technology,5.0,205.99,0.0,East
2016-06-17,CA-2016-111682,Home/Office Personal File Carts,Office Supplies,6.0,34.76,0.0,East
2016-06-17,CA-2016-111682,Xerox 232,Office Supplies,5.0,6.48,0.0,East
2016-06-17,CA-2016-111682,Novimex Turbo Task Chair,Furniture,5.0,63.88,10.0,East
2016-06-17,CA-2016-111682,"Array Parchment Paper, Assorted Colors",Office Supplies,2.0,7.28,0.0,East
2016-06-17,CA-2016-111682,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,2.0,15.0,0.0,East
2016-06-17,CA-2016-111682,Plastic Binding Combs,Office Supplies,4.0,12.12,20.0,East
2016-06-17,CA-2016-111682,Prang Dustless Chalk Sticks,Office Supplies,1.0,1.68,0.0,East
2015-11-24,CA-2015-135545,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,2.0,6.99,0.0,West
2015-11-24,CA-2015-135545,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,6.0,4.3,20.0,West
2015-11-24,CA-2015-135545,Xerox 1943,Office Supplies,3.0,48.91,0.0,West
2015-11-24,CA-2015-135545,Luxo Economy Swing Arm Lamp,Furniture,4.0,19.94,0.0,West
2015-04-30,US-2015-164175,"Global Value Mid-Back Manager's Chair, Gray",Furniture,5.0,42.62,30.0,Central
2014-12-05,CA-2014-106376,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,8.0,139.13,20.0,West
2014-12-05,CA-2014-106376,netTALK DUO VoIP Telephone Service,Technology,4.0,41.99,20.0,West
2016-06-04,CA-2016-119823,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,2.0,37.94,0.0,South
2016-09-18,CA-2016-106075,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,1.0,4.62,20.0,East
2017-09-14,CA-2017-114440,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,3.0,6.35,0.0,Central
2015-04-26,US-2015-134026,High-Back Leather Manager's Chair,Furniture,8.0,103.99,20.0,South
2015-04-26,US-2015-134026,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,2.0,48.52,20.0,South
2015-04-26,US-2015-134026,Safco Industrial Wire Shelving System,Office Supplies,1.0,72.78,20.0,South
2017-12-09,US-2017-118038,Economy Binders,Office Supplies,3.0,0.42,80.0,Central
2017-12-09,US-2017-118038,"6"" Cubicle Wall Clock, Black",Furniture,3.0,3.24,60.0,Central
2017-12-09,US-2017-118038,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,3.0,9.08,20.0,Central
2014-11-26,US-2014-147606,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,5.0,3.86,60.0,Central
2016-06-12,CA-2016-127208,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,1.0,208.16,0.0,South
2016-06-12,CA-2016-127208,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,3.0,5.58,0.0,South
2014-10-12,CA-2014-139451,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,5.0,2.98,0.0,West
2014-10-12,CA-2014-139451,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,1.0,21.39,0.0,West
2015-09-03,CA-2015-149734,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,7.0,28.71,20.0,South
2017-11-13,US-2017-119662,Safco Industrial Wire Shelving,Office Supplies,3.0,76.79,20.0,Central
2017-05-28,CA-2017-140088,Novimex Swivel Fabric Task Chair,Furniture,2.0,150.98,0.0,South
2017-10-26,CA-2017-155558,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,1.0,19.99,0.0,Central
2017-10-26,CA-2017-155558,Avery 511,Office Supplies,2.0,3.08,0.0,Central
2016-04-05,CA-2016-159695,Eldon Portable Mobile Manager,Office Supplies,7.0,22.62,20.0,Central
2016-09-17,CA-2016-109806,Turquoise Lead Holder with Pocket Clip,Office Supplies,3.0,6.7,0.0,West
2016-09-17,CA-2016-109806,Panasonic Kx-TS550,Technology,2.0,36.79,20.0,West
2016-09-17,CA-2016-109806,Xerox 1995,Office Supplies,1.0,6.48,0.0,West
2015-01-31,CA-2015-149587,Xerox 1999,Office Supplies,2.0,6.48,0.0,Central
2015-01-31,CA-2015-149587,"Seth Thomas 13 1/2"" Wall Clock",Furniture,3.0,17.78,0.0,Central
2015-01-31,CA-2015-149587,Ibico Standard Transparent Covers,Office Supplies,2.0,16.48,0.0,Central
2017-11-06,US-2017-109484,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,1.0,5.68,70.0,West
2017-11-09,CA-2017-161018,9-3/4 Diameter Round Wall Clock,Furniture,7.0,13.79,0.0,East
2017-06-17,CA-2017-157833,Trimflex Flexible Post Binders,Office Supplies,3.0,17.1,20.0,West
2016-09-06,CA-2016-149223,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,6.0,12.98,0.0,Central
2016-08-29,CA-2016-158568,Avery Personal Creations Heavyweight Cards,Office Supplies,7.0,9.23,20.0,Central
2016-08-29,CA-2016-158568,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,3.0,31.99,20.0,Central
2016-08-29,CA-2016-158568,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,3.0,0.6,80.0,Central
2016-12-01,CA-2016-129903,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,4.0,5.98,0.0,Central
2015-11-13,US-2015-156867,Logitech K350 2.4Ghz Wireless Keyboard,Technology,6.0,39.82,20.0,West
2015-11-13,US-2015-156867,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,3.0,34.12,20.0,West
2015-11-13,US-2015-156867,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,3.0,12.29,70.0,West
2017-11-23,CA-2017-119004,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,8.0,9.26,20.0,South
2017-11-23,CA-2017-119004,Speck Products Candyshell Flip Case,Technology,1.0,27.99,20.0,South
2017-11-23,CA-2017-119004,Newell Chalk Holder,Office Supplies,1.0,3.3,20.0,South
2015-10-15,CA-2015-129476,Logitech Gaming G510s - Keyboard,Technology,5.0,67.99,20.0,Central
2017-12-25,CA-2017-146780,Magnifier Swing Arm Lamp,Furniture,2.0,20.98,0.0,East
2016-11-03,CA-2016-128867,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,2.0,37.98,0.0,Central
2016-11-03,CA-2016-128867,"Avery Durable Plastic 1"" Binders",Office Supplies,6.0,4.54,0.0,Central
2014-08-25,CA-2014-115259,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,14.0,2.86,20.0,East
2014-08-25,CA-2014-115259,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,2.0,2.36,20.0,East
2014-08-25,CA-2014-115259,Xerox 1921,Office Supplies,3.0,7.99,20.0,East
2014-08-25,CA-2014-115259,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,6.0,21.74,20.0,East
2015-03-02,CA-2015-110457,Hon Racetrack Conference Tables,Furniture,3.0,262.51,0.0,West
2015-04-05,US-2015-136476,GBC DocuBind 300 Electric Binding Machine,Office Supplies,1.0,157.79,70.0,South
2016-06-12,CA-2016-103730,Artistic Insta-Plaque,Furniture,3.0,15.68,0.0,East
2016-06-12,CA-2016-103730,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,4.0,7.71,0.0,East
2016-06-12,CA-2016-103730,"Companion Letter/Legal File, Black",Office Supplies,6.0,37.76,0.0,East
2016-06-12,CA-2016-103730,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,9.0,12.78,0.0,East
2016-06-12,CA-2016-103730,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,7.0,9.72,0.0,East
2014-12-26,US-2014-152030,Global Deluxe High-Back Manager's Chair,Furniture,3.0,200.19,30.0,Central
2014-09-20,US-2014-134614,Bevis 44 x 96 Conference Tables,Furniture,6.0,102.95,50.0,Central
2017-11-05,US-2017-107272,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,2.0,1.19,70.0,West
2017-11-05,US-2017-107272,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,7.0,34.86,20.0,West
2016-11-06,US-2016-125969,"Global Task Chair, Black",Furniture,2.0,40.71,20.0,West
2016-11-06,US-2016-125969,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,3.0,79.52,0.0,West
2017-02-02,US-2017-164147,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,5.0,11.99,40.0,East
2017-02-02,US-2017-164147,Xerox 1916,Office Supplies,2.0,39.15,20.0,East
2017-02-02,US-2017-164147,Staples,Office Supplies,9.0,2.38,20.0,East
2016-10-13,CA-2016-145583,Xerox 195,Office Supplies,3.0,6.68,0.0,West
2016-10-13,CA-2016-145583,Xerox 1880,Office Supplies,1.0,35.44,0.0,West
2016-10-13,CA-2016-145583,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,4.0,2.88,0.0,West
2016-10-13,CA-2016-145583,Ideal Clamps,Office Supplies,2.0,2.01,0.0,West
2016-10-13,CA-2016-145583,GBC Wire Binding Strips,Office Supplies,3.0,25.39,20.0,West
2016-10-13,CA-2016-145583,Fiskars Softgrip Scissors,Office Supplies,6.0,10.98,0.0,West
2016-10-13,CA-2016-145583,Longer-Life Soft White Bulbs,Furniture,14.0,3.08,0.0,West
2016-09-05,CA-2016-110366,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,2.0,41.4,20.0,East
2017-09-18,CA-2017-106180,Newell 343,Office Supplies,3.0,2.94,0.0,West
2017-09-18,CA-2017-106180,Convenience Packs of Business Envelopes,Office Supplies,3.0,3.62,0.0,West
2017-09-18,CA-2017-106180,Xerox 1911,Office Supplies,3.0,47.9,0.0,West
2017-12-22,CA-2017-155376,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,3.0,279.81,0.0,Central
2015-09-07,CA-2015-110744,Safco Industrial Wire Shelving,Office Supplies,7.0,95.99,0.0,West
2014-10-22,CA-2014-110072,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,4.0,23.47,20.0,East
2016-12-05,CA-2016-114489,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,11.0,34.95,0.0,Central
2016-12-05,CA-2016-114489,Anker Astro 15000mAh USB Portable Charger,Technology,3.0,49.99,0.0,Central
2016-12-05,CA-2016-114489,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,8.0,243.98,0.0,Central
2016-12-05,CA-2016-114489,GBC Prestige Therm-A-Bind Covers,Office Supplies,5.0,34.31,0.0,Central
2016-03-13,CA-2016-158834,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,5.0,31.58,20.0,West
2016-03-13,CA-2016-158834,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,2.0,101.59,20.0,West
2015-05-31,CA-2015-124919,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,7.0,8.34,0.0,West
2015-05-31,CA-2015-124919,Xerox 1883,Office Supplies,4.0,26.38,0.0,West
2015-05-31,CA-2015-124919,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,6.0,13.48,0.0,West
2015-05-28,CA-2015-118948,Newell 311,Office Supplies,3.0,2.21,0.0,West
2014-03-01,CA-2014-104269,Global Deluxe High-Back Manager's Chair,Furniture,2.0,228.78,20.0,West
2016-11-20,CA-2016-114104,Avery 519,Office Supplies,2.0,7.31,0.0,Central
2016-11-20,CA-2016-114104,Avaya 5420 Digital phone,Technology,7.0,134.99,0.0,Central
2016-05-11,CA-2016-162733,Xerox 1920,Office Supplies,1.0,5.98,0.0,West
2015-12-28,CA-2015-119697,Lenovo 17-Key USB Numeric Keypad,Technology,2.0,27.19,20.0,East
2016-11-16,CA-2016-154508,Staple envelope,Office Supplies,5.0,5.68,0.0,West
2016-11-07,CA-2016-113817,Wilson Jones International Size A4 Ring Binders,Office Supplies,2.0,13.84,20.0,West
2014-09-08,CA-2014-139892,BIC Brite Liner Highlighters,Office Supplies,3.0,3.31,20.0,Central
2014-09-08,CA-2014-139892,Lexmark MX611dhe Monochrome Laser Printer,Technology,8.0,1019.99,40.0,Central
2014-09-08,CA-2014-139892,Space Solutions HD Industrial Steel Shelving.,Office Supplies,3.0,91.98,20.0,Central
2014-09-08,CA-2014-139892,SAFCO Arco Folding Chair,Furniture,9.0,193.34,30.0,Central
2014-09-08,CA-2014-139892,Sanford Liquid Accent Highlighters,Office Supplies,6.0,5.34,20.0,Central
2014-09-08,CA-2014-139892,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,5.0,35.6,80.0,Central
2014-09-08,CA-2014-139892,JBL Micro Wireless Portable Bluetooth Speaker,Technology,3.0,47.99,20.0,Central
2014-08-05,CA-2014-118962,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,3.0,6.98,0.0,West
2014-08-05,CA-2014-118962,Xerox 1913,Office Supplies,2.0,55.48,0.0,West
2014-08-05,CA-2014-118962,"Global Value Steno Chair, Gray",Furniture,7.0,48.59,20.0,West
2014-09-14,US-2014-100853,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,2.0,26.22,80.0,Central
2014-09-14,US-2014-100853,Avery 51,Office Supplies,4.0,5.04,20.0,Central
2017-04-21,US-2017-152366,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,4.0,24.32,80.0,Central
2015-11-21,US-2015-101511,"Padded Folding Chairs, Black, 4/Carton",Furniture,7.0,56.69,30.0,East
2015-11-21,US-2015-101511,Acme Rosewood Handle Letter Opener,Office Supplies,5.0,3.18,20.0,East
2015-12-15,CA-2015-137225,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,1.0,3.28,0.0,East
2014-12-05,CA-2014-166191,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,2.0,12.41,20.0,Central
2014-12-05,CA-2014-166191,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,7.0,58.39,20.0,Central
2014-11-19,CA-2014-158274,AT&T TR1909W,Technology,4.0,125.99,0.0,South
2014-11-19,CA-2014-158274,Nokia Lumia 521 (T-Mobile),Technology,5.0,29.99,0.0,South
2014-11-19,CA-2014-158274,HP Standard 104 key PS/2 Keyboard,Technology,2.0,14.5,0.0,South
2016-11-28,CA-2016-105018,Avery Poly Binder Pockets,Office Supplies,2.0,3.58,0.0,East
2014-08-26,CA-2014-123260,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,8.0,22.1,0.0,West
2016-07-16,CA-2016-157000,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,3.0,12.41,20.0,Central
2016-07-16,CA-2016-157000,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,3.0,6.67,20.0,Central
2015-10-12,CA-2015-102281,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,4.0,224.78,20.0,East
2015-10-12,CA-2015-102281,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,6.0,11.96,0.0,East
2015-10-12,CA-2015-102281,Xerox 205,Office Supplies,8.0,6.48,0.0,East
2015-10-12,CA-2015-102281,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,3.0,208.78,20.0,East
2015-10-12,CA-2015-102281,4009 Highlighters by Sanford,Office Supplies,5.0,3.98,0.0,East
2015-10-31,CA-2015-131457,Poly String Tie Envelopes,Office Supplies,7.0,2.04,0.0,West
2014-03-21,CA-2014-140004,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,2.0,3.7,20.0,East
2014-03-21,CA-2014-140004,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,3.0,2.02,20.0,East
2017-11-06,CA-2017-107720,Decoflex Hanging Personal Folder File,Office Supplies,3.0,15.42,0.0,East
2017-07-06,US-2017-124303,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,2.0,1.47,70.0,East
2017-07-06,US-2017-124303,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,3.0,5.35,20.0,East
2017-06-24,CA-2017-105074,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,3.0,7.25,20.0,East
2014-08-03,CA-2014-133690,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,2.0,109.38,50.0,West
2014-08-03,CA-2014-133690,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,1.0,2.6,20.0,West
2017-12-17,US-2017-116701,Eureka Sanitaire  Commercial Upright,Office Supplies,2.0,33.14,80.0,Central
2017-06-03,CA-2017-126382,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,7.0,5.02,20.0,South
2017-12-09,CA-2017-108329,Nortel Business Series Terminal T7208 Digital phone,Technology,4.0,111.19,20.0,West
2017-12-01,CA-2017-135860,"Tennsco Lockers, Gray",Office Supplies,4.0,20.98,0.0,Central
2017-12-01,CA-2017-135860,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,2.0,65.99,0.0,Central
2017-12-01,CA-2017-135860,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,4.0,3.98,0.0,Central
2017-12-01,CA-2017-135860,"Advantus Push Pins, Aluminum Head",Office Supplies,9.0,5.81,0.0,Central
2017-12-01,CA-2017-135860,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,1.0,91.99,0.0,Central
2015-02-09,CA-2015-101007,Memorex Micro Travel Drive 8 GB,Technology,2.0,10.4,20.0,Central
2015-01-02,CA-2015-146262,Avery 505,Office Supplies,2.0,11.84,20.0,East
2015-01-02,CA-2015-146262,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,5.0,90.49,50.0,East
2015-01-02,CA-2015-146262,Speck Products Candyshell Flip Case,Technology,3.0,20.99,40.0,East
2015-01-02,CA-2015-146262,Cisco 9971 IP Video Phone Charcoal,Technology,9.0,132.0,70.0,East
2015-01-02,CA-2015-146262,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,2.0,44.79,20.0,East
2016-10-28,CA-2016-130162,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,6.0,15.51,0.0,West
2016-10-28,CA-2016-130162,Adtran 1202752G1,Technology,3.0,100.79,20.0,West
2015-12-24,CA-2015-169397,OIC Bulk Pack Metal Binder Clips,Office Supplies,2.0,2.79,20.0,East
2015-12-24,CA-2015-169397,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Office Supplies,6.0,3.78,20.0,East
2015-12-24,CA-2015-169397,Ibico Standard Transparent Covers,Office Supplies,4.0,4.94,70.0,East
2015-12-24,CA-2015-169397,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,4.0,18.18,20.0,East
2015-12-24,CA-2015-169397,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,4.0,120.0,70.0,East
2015-12-24,CA-2015-169397,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,2.0,13.58,20.0,East
2015-08-09,CA-2015-163055,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,1.0,2.2,0.0,Central
2015-08-09,CA-2015-163055,Bevis 36 x 72 Conference Tables,Furniture,5.0,124.49,0.0,Central
2015-08-09,CA-2015-163055,Rogers Deluxe File Chest,Office Supplies,1.0,21.98,0.0,Central
2015-02-28,US-2015-145436,Global Low Back Tilter Chair,Furniture,2.0,80.78,20.0,South
2015-02-28,US-2015-145436,"Global Push Button Manager's Chair, Indigo",Furniture,8.0,48.71,20.0,South
2014-09-13,US-2014-156216,GBC Instant Index System for Binding Systems,Office Supplies,7.0,2.66,70.0,South
2017-04-07,US-2017-100930,Bush Advantage Collection Round Conference Table,Furniture,2.0,116.93,45.0,South
2017-04-07,US-2017-100930,Bretford Rectangular Conference Table Tops,Furniture,3.0,206.87,45.0,South
2017-04-07,US-2017-100930,GBC Instant Index System for Binding Systems,Office Supplies,2.0,2.66,70.0,South
2017-04-07,US-2017-100930,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,3.0,86.02,20.0,South
2017-04-07,US-2017-100930,Logitech P710e Mobile Speakerphone,Technology,3.0,205.99,20.0,South
